id,title,condition,price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,permalink,thumbnail,category_id,domain_id,Marca,Color,Condición del ítem,Modelo,Formato de venta,Unidades por pack,Unidades por envase,Color principal,Código universal de producto,Largo del paquete,Peso del paquete,Peso neto,Conservación del producto,Línea
MLA1547899474,Guantes Descartables Color Negro Talle M De Nitrilo X 100 U,new,12920.0,ARS,1,,buy_it_now,gold_special,2043-10-21T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1547899474-guantes-descartables-color-negro-talle-m-de-nitrilo-x-100-u-_JM,http://http2.mlstatic.com/D_734367-MLA72510909559_102023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Dexal/NP/Aurinco/Powercrest/K-Kaution/Alumax,,Nuevo,Nitrilo Negro,Unidad,1,,,,,,,,
MLA1449838374,Guantes De Nitrilo Negros Disposable Gloves X100u ,new,8699.0,ARS,1,,buy_it_now,gold_special,2043-07-09T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1449838374-guantes-de-nitrilo-negros-disposable-gloves-x100u-_JM,http://http2.mlstatic.com/D_695434-MLA70434762624_072023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Genérica,,Nuevo,Disposable Gloves,Unidad,1,100,,,,,,,
MLA1652589678,Guantes De Nitrilo Rosa Reforzado Cajon 10 Cajas X100u,new,85000.0,ARS,500,,buy_it_now,gold_special,2044-01-27T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1652589678-guantes-de-nitrilo-rosa-reforzado-cajon-10-cajas-x100u-_JM,http://http2.mlstatic.com/D_645736-MLA74842814380_032024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,ONE GLOVE,,Nuevo,Nitrilo rosa,Pack,1000,1000,,,,,,,
MLA1408727599,Guantes De Nitrilo Negro X 100 U. | Aptos Anmat,new,6202.0,ARS,1,,buy_it_now,gold_special,2044-02-08T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1408727599-guantes-de-nitrilo-negro-x-100-u-aptos-anmat-_JM,http://http2.mlstatic.com/D_822439-MLA72778080674_112023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Genérica,,Nuevo,Nitrilo Negro,Unidad,1,100,,,,,,,
MLA1666458440,Guantes De Nitrilo Negro X 50 U. | Premium,new,3770.0,ARS,50,,buy_it_now,gold_special,2044-02-06T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1666458440-guantes-de-nitrilo-negro-x-50-u-premium-_JM,http://http2.mlstatic.com/D_716877-MLA72853746043_112023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Genérica,,Nuevo,Nitrilo Negro,Unidad,1,50,,,,,,,
MLA1451596236,Guantes Nitrilo Descartables Caja X 100 Un Talle S M L Xl,new,13500.0,ARS,1,,buy_it_now,gold_special,2043-07-12T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1451596236-guantes-nitrilo-descartables-caja-x-100-un-talle-s-m-l-xl-_JM,http://http2.mlstatic.com/D_761699-MLA70517836958_072023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,NP,,Nuevo,Nitrilo,Unidad,1,100,,,,,,,
MLA1314989439,Guantes Descartables Nitrilo De Examinacion Negro M X 100un,new,10200.0,ARS,1,,buy_it_now,gold_special,2043-01-13T04:00:00.000Z,https://www.mercadolibre.com.ar/guantes-descartables-nitrilo-de-examinacion-negro-m-x-100un/p/MLA20004835,http://http2.mlstatic.com/D_867791-MLA53427992409_012023-I.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Great Glove,,Nuevo,,Unidad,1,100,,9557601320361,,,,,
MLA701539232,Guantes Nitrilo Azul Mediglove Caja X 100 Unidades,new,8069.03,ARS,5000,,buy_it_now,gold_special,2038-01-06T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-701539232-guantes-nitrilo-azul-mediglove-caja-x-100-unidades-_JM,http://http2.mlstatic.com/D_643376-MLA48318013954_112021-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Mediglove,,Nuevo,Azul,Caja,100,,,,,,,,
MLA928161220,Guante Nitrilo Azul Descartable Caja X 100 Certificado Anmat,new,8000.0,ARS,100,,buy_it_now,gold_special,2041-06-28T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-928161220-guante-nitrilo-azul-descartable-caja-x-100-certificado-anmat-_JM,http://http2.mlstatic.com/D_736715-MLA46604893377_072021-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,DPS,,Nuevo,DESCARTABLE NITRILO AZUL,Pack,100,100,,,,,,,
MLA1763327838,Guantes De Examinación Nitrilo Azul X 100 Unid Promo,new,7800.0,ARS,1,,buy_it_now,gold_special,2044-05-01T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1763327838-guantes-de-examinacion-nitrilo-azul-x-100-unid-promo-_JM,http://http2.mlstatic.com/D_810148-MLA72763773216_112023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,MEDICPRO,,Nuevo,Nitrilo azul,Pack,1,100,,,,,,,
